"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"206","5 16","5",16,23,"y",4,6,15.92,"2024"
"207","5 16","5",16,23,"y",4,24,15.92,"2024"
"208","5 17","5",17,23,"y",4,0,18.44,"2024"
"209","5 17","5",17,23,"y",4,6,18.44,"2024"
"210","5 17","5",17,23,"y",4,24,18.44,"2024"
"211","4 18","4",18,29,"y",4,0,10.19,"2024"
"212","4 18","4",18,29,"y",4,6,10.19,"2024"
"213","4 18","4",18,29,"n",4,24,10.19,"2024"
"214","4 19","4",19,29,"y",4,0,14.24,"2024"
"215","4 19","4",19,29,"y",4,6,14.24,"2024"
"216","4 19","4",19,29,"n",4,24,14.24,"2024"
"217","4 20","4",20,29,"y",4,0,12.01,"2024"
"218","4 20","4",20,29,"y",4,6,12.01,"2024"
"219","4 20","4",20,29,"n",4,24,12.01,"2024"
"220","4 21","4",21,29,"y",4,0,8.72,"2024"
"221","4 21","4",21,29,"y",4,6,8.72,"2024"
"222","4 21","4",21,29,"n",4,24,8.72,"2024"
"223","4 22","4",22,29,"y",4,0,10.98,"2024"
"224","4 22","4",22,29,"y",4,6,10.98,"2024"
"225","4 22","4",22,29,"n",4,24,10.98,"2024"
"226","5 18","5",18,29,"y",4,0,15.54,"2024"
"227","5 18","5",18,29,"y",4,6,15.54,"2024"
"228","5 18","5",18,29,"n",4,24,15.54,"2024"
"229","5 19","5",19,29,"y",4,0,12.8,"2024"
"230","5 19","5",19,29,"y",4,6,12.8,"2024"
"231","5 19","5",19,29,"n",4,24,12.8,"2024"
"232","5 20","5",20,29,"y",4,0,19.07,"2024"
"233","5 20","5",20,29,"y",4,6,19.07,"2024"
"234","5 20","5",20,29,"n",4,24,19.07,"2024"
"235","5 21","5",21,29,"y",4,0,19.59,"2024"
"236","5 21","5",21,29,"y",4,6,19.59,"2024"
"237","5 21","5",21,29,"n",4,24,19.59,"2024"
"238","5 22","5",22,29,"y",4,0,16.11,"2024"
"239","5 22","5",22,29,"y",4,6,16.11,"2024"
"240","5 22","5",22,29,"n",4,24,16.11,"2024"
"241","5 23","5",23,29,"y",4,0,13.91,"2024"
"242","5 23","5",23,29,"y",4,6,13.91,"2024"
"243","5 23","5",23,29,"n",4,24,13.91,"2024"
"244","5 24","5",24,29,"y",4,0,15.64,"2024"
"245","5 24","5",24,29,"y",4,6,15.64,"2024"
"246","5 24","5",24,29,"n",4,24,15.64,"2024"
"247","2 16","2",16,29,"y",5,0,91.3,"2024"
"248","2 16","2",16,29,"y",5,6,91.3,"2024"
"249","2 16","2",16,29,"y",5,24,91.3,"2024"
"250","2 17","2",17,29,"y",5,0,49.49,"2024"
