"","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","Jdate","rgrlog","gr"
"109","1 21","1",21,17,"y",4,6,6,17.81,28.91,"current",11.1,122,0.0350640287012357,1.85
"110","1 21","1",21,17,"y",4,24,-6.16666666666667,17.81,54.4,"current",36.59,123,0.0202056241764557,1.52458333333333
"111","2 5","2",5,17,"y",4,0,0,19.8,19.8,"current",0,122,NA,NA
"112","2 5","2",5,17,"y",4,6,6,19.8,26.79,"current",6.99,122,0.0218845872244463,1.165
"113","2 5","2",5,17,"y",4,24,-6.16666666666667,19.8,42.45,"current",22.65,123,0.0138005210132683,0.94375
"114","2 6","2",6,17,"y",4,0,0,13.27,13.27,"current",0,122,NA,NA
"115","2 6","2",6,17,"y",4,6,6,13.27,18.86,"current",5.59,122,0.025445127589479,0.931666666666667
"116","2 6","2",6,17,"y",4,24,-6.16666666666667,13.27,27.75,"current",14.48,123,0.0133496693580941,0.603333333333333
"117","2 7","2",7,17,"y",4,0,0,9.16,9.16,"current",0,122,NA,NA
"118","2 7","2",7,17,"y",4,6,6,9.16,12.13,"current",2.97,122,0.0203275545331204,0.495
"119","2 7","2",7,17,"y",4,24,-6.16666666666667,9.16,19.57,"current",10.41,123,0.0137373063329229,0.43375
"120","2 8","2",8,17,"y",4,0,0,16.38,16.38,"current",0,122,NA,NA
"121","2 8","2",8,17,"y",4,6,6,16.38,19.82,"current",3.44,122,0.0137982921208095,0.573333333333334
"122","2 8","2",8,17,"y",4,24,-6.16666666666667,16.38,34.1,"current",17.72,123,0.0132683533986708,0.738333333333333
"123","2 9","2",9,17,"y",4,0,0,18.37,18.37,"current",0,122,NA,NA
"124","2 9","2",9,17,"y",4,6,6,18.37,22.87,"current",4.5,122,0.01585950138349,0.75
"125","2 9","2",9,17,"y",4,24,-6.16666666666667,18.37,36.58,"current",18.21,123,0.0124639393681079,0.75875
"126","4 12","4",12,11,"y",4,0,0,11.07,11.07,"current",0,123,NA,NA
"127","4 12","4",12,11,"y",4,6,6,11.07,11.97,"current",0.9,123,0.00565775492128133,0.15
"128","4 12","4",12,11,"y",4,24,-6.2,11.07,14.94,"current",3.87,124,0.00542512402502738,0.16125
"129","4 13","4",13,11,"y",4,0,0,16.87,16.87,"current",0,123,NA,NA
